"STATISTIC Label","Graduation Year","Field of Study","NFQ Level","Nationality","UNIT","VALUE"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 8","Australia and South Pacific","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 8","Central and South America","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 8","Europe excluding UK and Ireland","Number","70"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 8","North America","Number","40"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 9","All nationalities","Number","1040"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 9","UK","Number","30"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 9","Ireland","Number","810"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 9","Unknown","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 9","Africa","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 9","Central Asia","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 9","South Asia","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 9","South-East Asia","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 9","East Asia","Number","20"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 9","Mid-East","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 9","Australia and South Pacific","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 9","Central and South America","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 9","Europe excluding UK and Ireland","Number","70"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 9","North America","Number","110"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 10","All nationalities","Number","40"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 10","UK","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 10","Ireland","Number","30"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 10","Unknown","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 10","Africa","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 10","Central Asia","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 10","South Asia","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 10","South-East Asia","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 10","East Asia","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 10","Mid-East","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 10","Australia and South Pacific","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 10","Central and South America","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 10","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2010","Arts and Humanities","NFQ Level 10","North America","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","All NFQ Levels","All nationalities","Number","2260"
"Number of Graduates","2010","Social Sciences, Journalism and Information","All NFQ Levels","UK","Number","60"
"Number of Graduates","2010","Social Sciences, Journalism and Information","All NFQ Levels","Ireland","Number","2030"
"Number of Graduates","2010","Social Sciences, Journalism and Information","All NFQ Levels","Unknown","Number","10"
"Number of Graduates","2010","Social Sciences, Journalism and Information","All NFQ Levels","Africa","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","All NFQ Levels","Central Asia","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","All NFQ Levels","South Asia","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","All NFQ Levels","South-East Asia","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","All NFQ Levels","East Asia","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","All NFQ Levels","Mid-East","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","All NFQ Levels","Australia and South Pacific","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","All NFQ Levels","Central and South America","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","All NFQ Levels","Europe excluding UK and Ireland","Number","90"
"Number of Graduates","2010","Social Sciences, Journalism and Information","All NFQ Levels","North America","Number","60"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 6","All nationalities","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 6","UK","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 6","Ireland","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 6","Unknown","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 6","Africa","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 6","Central Asia","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 6","South Asia","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 6","South-East Asia","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 6","East Asia","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 6","Mid-East","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 6","Australia and South Pacific","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 6","Central and South America","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 6","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 6","North America","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 7","All nationalities","Number","30"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 7","UK","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 7","Ireland","Number","20"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 7","Unknown","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 7","Africa","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 7","Central Asia","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 7","South Asia","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 7","South-East Asia","Number","0"
