"STATISTIC Label","Graduation Year","Field of Study","NFQ Level","Nationality","UNIT","VALUE"
"Number of Graduates","2018","All fields of education","NFQ Level 7","Central Asia","Number","0"
"Number of Graduates","2018","All fields of education","NFQ Level 7","South Asia","Number","10"
"Number of Graduates","2018","All fields of education","NFQ Level 7","South-East Asia","Number","70"
"Number of Graduates","2018","All fields of education","NFQ Level 7","East Asia","Number","50"
"Number of Graduates","2018","All fields of education","NFQ Level 7","Mid-East","Number","0"
"Number of Graduates","2018","All fields of education","NFQ Level 7","Australia and South Pacific","Number","0"
"Number of Graduates","2018","All fields of education","NFQ Level 7","Central and South America","Number","0"
"Number of Graduates","2018","All fields of education","NFQ Level 7","Europe excluding UK and Ireland","Number","370"
"Number of Graduates","2018","All fields of education","NFQ Level 7","North America","Number","30"
"Number of Graduates","2018","All fields of education","NFQ Level 8","All nationalities","Number","27000"
"Number of Graduates","2018","All fields of education","NFQ Level 8","UK","Number","420"
"Number of Graduates","2018","All fields of education","NFQ Level 8","Ireland","Number","24110"
"Number of Graduates","2018","All fields of education","NFQ Level 8","Unknown","Number","0"
"Number of Graduates","2018","All fields of education","NFQ Level 8","Africa","Number","110"
"Number of Graduates","2018","All fields of education","NFQ Level 8","Central Asia","Number","0"
"Number of Graduates","2018","All fields of education","NFQ Level 8","South Asia","Number","50"
"Number of Graduates","2018","All fields of education","NFQ Level 8","South-East Asia","Number","450"
"Number of Graduates","2018","All fields of education","NFQ Level 8","East Asia","Number","420"
"Number of Graduates","2018","All fields of education","NFQ Level 8","Mid-East","Number","210"
"Number of Graduates","2018","All fields of education","NFQ Level 8","Australia and South Pacific","Number","10"
"Number of Graduates","2018","All fields of education","NFQ Level 8","Central and South America","Number","30"
"Number of Graduates","2018","All fields of education","NFQ Level 8","Europe excluding UK and Ireland","Number","980"
"Number of Graduates","2018","All fields of education","NFQ Level 8","North America","Number","230"
"Number of Graduates","2018","All fields of education","NFQ Level 9","All nationalities","Number","8250"
"Number of Graduates","2018","All fields of education","NFQ Level 9","UK","Number","140"
"Number of Graduates","2018","All fields of education","NFQ Level 9","Ireland","Number","4940"
"Number of Graduates","2018","All fields of education","NFQ Level 9","Unknown","Number","0"
"Number of Graduates","2018","All fields of education","NFQ Level 9","Africa","Number","90"
"Number of Graduates","2018","All fields of education","NFQ Level 9","Central Asia","Number","0"
"Number of Graduates","2018","All fields of education","NFQ Level 9","South Asia","Number","1000"
"Number of Graduates","2018","All fields of education","NFQ Level 9","South-East Asia","Number","80"
"Number of Graduates","2018","All fields of education","NFQ Level 9","East Asia","Number","620"
"Number of Graduates","2018","All fields of education","NFQ Level 9","Mid-East","Number","70"
"Number of Graduates","2018","All fields of education","NFQ Level 9","Australia and South Pacific","Number","10"
"Number of Graduates","2018","All fields of education","NFQ Level 9","Central and South America","Number","40"
"Number of Graduates","2018","All fields of education","NFQ Level 9","Europe excluding UK and Ireland","Number","770"
"Number of Graduates","2018","All fields of education","NFQ Level 9","North America","Number","500"
"Number of Graduates","2018","All fields of education","NFQ Level 10","All nationalities","Number","450"
"Number of Graduates","2018","All fields of education","NFQ Level 10","UK","Number","10"
"Number of Graduates","2018","All fields of education","NFQ Level 10","Ireland","Number","330"
"Number of Graduates","2018","All fields of education","NFQ Level 10","Unknown","Number","0"
"Number of Graduates","2018","All fields of education","NFQ Level 10","Africa","Number","10"
"Number of Graduates","2018","All fields of education","NFQ Level 10","Central Asia","Number","0"
"Number of Graduates","2018","All fields of education","NFQ Level 10","South Asia","Number","20"
"Number of Graduates","2018","All fields of education","NFQ Level 10","South-East Asia","Number","0"
"Number of Graduates","2018","All fields of education","NFQ Level 10","East Asia","Number","20"
"Number of Graduates","2018","All fields of education","NFQ Level 10","Mid-East","Number","0"
"Number of Graduates","2018","All fields of education","NFQ Level 10","Australia and South Pacific","Number","0"
"Number of Graduates","2018","All fields of education","NFQ Level 10","Central and South America","Number","0"
"Number of Graduates","2018","All fields of education","NFQ Level 10","Europe excluding UK and Ireland","Number","50"
"Number of Graduates","2018","All fields of education","NFQ Level 10","North America","Number","10"
"Number of Graduates","2018","Education","All NFQ Levels","All nationalities","Number","2560"
"Number of Graduates","2018","Education","All NFQ Levels","UK","Number","10"
"Number of Graduates","2018","Education","All NFQ Levels","Ireland","Number","2510"
"Number of Graduates","2018","Education","All NFQ Levels","Unknown","Number","0"
"Number of Graduates","2018","Education","All NFQ Levels","Africa","Number","0"
"Number of Graduates","2018","Education","All NFQ Levels","Central Asia","Number","0"
"Number of Graduates","2018","Education","All NFQ Levels","South Asia","Number","0"
"Number of Graduates","2018","Education","All NFQ Levels","South-East Asia","Number","0"
"Number of Graduates","2018","Education","All NFQ Levels","East Asia","Number","10"
"Number of Graduates","2018","Education","All NFQ Levels","Mid-East","Number","10"
"Number of Graduates","2018","Education","All NFQ Levels","Australia and South Pacific","Number","0"
"Number of Graduates","2018","Education","All NFQ Levels","Central and South America","Number","0"
"Number of Graduates","2018","Education","All NFQ Levels","Europe excluding UK and Ireland","Number","10"
"Number of Graduates","2018","Education","All NFQ Levels","North America","Number","10"
"Number of Graduates","2018","Education","NFQ Level 6","All nationalities","Number","20"
"Number of Graduates","2018","Education","NFQ Level 6","UK","Number","0"
"Number of Graduates","2018","Education","NFQ Level 6","Ireland","Number","10"
"Number of Graduates","2018","Education","NFQ Level 6","Unknown","Number","0"
"Number of Graduates","2018","Education","NFQ Level 6","Africa","Number","0"
"Number of Graduates","2018","Education","NFQ Level 6","Central Asia","Number","0"
"Number of Graduates","2018","Education","NFQ Level 6","South Asia","Number","0"
"Number of Graduates","2018","Education","NFQ Level 6","South-East Asia","Number","0"
"Number of Graduates","2018","Education","NFQ Level 6","East Asia","Number","10"
"Number of Graduates","2018","Education","NFQ Level 6","Mid-East","Number","10"
"Number of Graduates","2018","Education","NFQ Level 6","Australia and South Pacific","Number","0"
"Number of Graduates","2018","Education","NFQ Level 6","Central and South America","Number","0"
"Number of Graduates","2018","Education","NFQ Level 6","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2018","Education","NFQ Level 6","North America","Number","0"
"Number of Graduates","2018","Education","NFQ Level 7","All nationalities","Number","10"
"Number of Graduates","2018","Education","NFQ Level 7","UK","Number","0"
"Number of Graduates","2018","Education","NFQ Level 7","Ireland","Number","10"
"Number of Graduates","2018","Education","NFQ Level 7","Unknown","Number","0"
"Number of Graduates","2018","Education","NFQ Level 7","Africa","Number","0"
"Number of Graduates","2018","Education","NFQ Level 7","Central Asia","Number","0"
"Number of Graduates","2018","Education","NFQ Level 7","South Asia","Number","0"
"Number of Graduates","2018","Education","NFQ Level 7","South-East Asia","Number","0"
"Number of Graduates","2018","Education","NFQ Level 7","East Asia","Number","0"
"Number of Graduates","2018","Education","NFQ Level 7","Mid-East","Number","0"
"Number of Graduates","2018","Education","NFQ Level 7","Australia and South Pacific","Number","0"
"Number of Graduates","2018","Education","NFQ Level 7","Central and South America","Number","0"
"Number of Graduates","2018","Education","NFQ Level 7","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2018","Education","NFQ Level 7","North America","Number","0"
"Number of Graduates","2018","Education","NFQ Level 8","All nationalities","Number","1580"
"Number of Graduates","2018","Education","NFQ Level 8","UK","Number","10"
"Number of Graduates","2018","Education","NFQ Level 8","Ireland","Number","1570"
"Number of Graduates","2018","Education","NFQ Level 8","Unknown","Number","0"
"Number of Graduates","2018","Education","NFQ Level 8","Africa","Number","0"
"Number of Graduates","2018","Education","NFQ Level 8","Central Asia","Number","0"
"Number of Graduates","2018","Education","NFQ Level 8","South Asia","Number","0"
"Number of Graduates","2018","Education","NFQ Level 8","South-East Asia","Number","0"
"Number of Graduates","2018","Education","NFQ Level 8","East Asia","Number","0"
"Number of Graduates","2018","Education","NFQ Level 8","Mid-East","Number","0"
"Number of Graduates","2018","Education","NFQ Level 8","Australia and South Pacific","Number","0"
"Number of Graduates","2018","Education","NFQ Level 8","Central and South America","Number","0"
"Number of Graduates","2018","Education","NFQ Level 8","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2018","Education","NFQ Level 8","North America","Number","0"
"Number of Graduates","2018","Education","NFQ Level 9","All nationalities","Number","960"
"Number of Graduates","2018","Education","NFQ Level 9","UK","Number","0"
"Number of Graduates","2018","Education","NFQ Level 9","Ireland","Number","930"
"Number of Graduates","2018","Education","NFQ Level 9","Unknown","Number","0"
"Number of Graduates","2018","Education","NFQ Level 9","Africa","Number","0"
"Number of Graduates","2018","Education","NFQ Level 9","Central Asia","Number","0"
"Number of Graduates","2018","Education","NFQ Level 9","South Asia","Number","0"
"Number of Graduates","2018","Education","NFQ Level 9","South-East Asia","Number","0"
"Number of Graduates","2018","Education","NFQ Level 9","East Asia","Number","0"
"Number of Graduates","2018","Education","NFQ Level 9","Mid-East","Number","0"
"Number of Graduates","2018","Education","NFQ Level 9","Australia and South Pacific","Number","0"
"Number of Graduates","2018","Education","NFQ Level 9","Central and South America","Number","0"
"Number of Graduates","2018","Education","NFQ Level 9","Europe excluding UK and Ireland","Number","10"
"Number of Graduates","2018","Education","NFQ Level 9","North America","Number","10"
"Number of Graduates","2018","Education","NFQ Level 10","All nationalities","Number","10"
"Number of Graduates","2018","Education","NFQ Level 10","UK","Number","0"
"Number of Graduates","2018","Education","NFQ Level 10","Ireland","Number","10"
"Number of Graduates","2018","Education","NFQ Level 10","Unknown","Number","0"
"Number of Graduates","2018","Education","NFQ Level 10","Africa","Number","0"
"Number of Graduates","2018","Education","NFQ Level 10","Central Asia","Number","0"
"Number of Graduates","2018","Education","NFQ Level 10","South Asia","Number","0"
"Number of Graduates","2018","Education","NFQ Level 10","South-East Asia","Number","0"
"Number of Graduates","2018","Education","NFQ Level 10","East Asia","Number","0"
"Number of Graduates","2018","Education","NFQ Level 10","Mid-East","Number","0"
"Number of Graduates","2018","Education","NFQ Level 10","Australia and South Pacific","Number","0"
"Number of Graduates","2018","Education","NFQ Level 10","Central and South America","Number","0"
"Number of Graduates","2018","Education","NFQ Level 10","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2018","Education","NFQ Level 10","North America","Number","0"
"Number of Graduates","2018","Arts and Humanities","All NFQ Levels","All nationalities","Number","6440"
"Number of Graduates","2018","Arts and Humanities","All NFQ Levels","UK","Number","180"
"Number of Graduates","2018","Arts and Humanities","All NFQ Levels","Ireland","Number","5590"
"Number of Graduates","2018","Arts and Humanities","All NFQ Levels","Unknown","Number","0"
"Number of Graduates","2018","Arts and Humanities","All NFQ Levels","Africa","Number","10"
"Number of Graduates","2018","Arts and Humanities","All NFQ Levels","Central Asia","Number","0"
"Number of Graduates","2018","Arts and Humanities","All NFQ Levels","South Asia","Number","30"
"Number of Graduates","2018","Arts and Humanities","All NFQ Levels","South-East Asia","Number","20"
"Number of Graduates","2018","Arts and Humanities","All NFQ Levels","East Asia","Number","70"
"Number of Graduates","2018","Arts and Humanities","All NFQ Levels","Mid-East","Number","10"
"Number of Graduates","2018","Arts and Humanities","All NFQ Levels","Australia and South Pacific","Number","0"
"Number of Graduates","2018","Arts and Humanities","All NFQ Levels","Central and South America","Number","10"
"Number of Graduates","2018","Arts and Humanities","All NFQ Levels","Europe excluding UK and Ireland","Number","310"
"Number of Graduates","2018","Arts and Humanities","All NFQ Levels","North America","Number","210"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 6","All nationalities","Number","70"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 6","UK","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 6","Ireland","Number","40"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 6","Unknown","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 6","Africa","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 6","Central Asia","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 6","South Asia","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 6","South-East Asia","Number","10"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 6","East Asia","Number","10"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 6","Mid-East","Number","10"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 6","Australia and South Pacific","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 6","Central and South America","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 6","Europe excluding UK and Ireland","Number","10"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 6","North America","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 7","All nationalities","Number","280"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 7","UK","Number","10"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 7","Ireland","Number","250"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 7","Unknown","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 7","Africa","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 7","Central Asia","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 7","South Asia","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 7","South-East Asia","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 7","East Asia","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 7","Mid-East","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 7","Australia and South Pacific","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 7","Central and South America","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 7","Europe excluding UK and Ireland","Number","20"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 7","North America","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 8","All nationalities","Number","5260"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 8","UK","Number","130"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 8","Ireland","Number","4880"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 8","Unknown","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 8","Africa","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 8","Central Asia","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 8","South Asia","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 8","South-East Asia","Number","10"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 8","East Asia","Number","10"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 8","Mid-East","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 8","Australia and South Pacific","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 8","Central and South America","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 8","Europe excluding UK and Ireland","Number","180"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 8","North America","Number","50"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 9","All nationalities","Number","820"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 9","UK","Number","40"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 9","Ireland","Number","420"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 9","Unknown","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 9","Africa","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 9","Central Asia","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 9","South Asia","Number","30"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 9","South-East Asia","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 9","East Asia","Number","50"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 9","Mid-East","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 9","Australia and South Pacific","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 9","Central and South America","Number","10"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 9","Europe excluding UK and Ireland","Number","110"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 9","North America","Number","160"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 10","All nationalities","Number","20"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 10","UK","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 10","Ireland","Number","10"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 10","Unknown","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 10","Africa","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 10","Central Asia","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 10","South Asia","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 10","South-East Asia","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 10","East Asia","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 10","Mid-East","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 10","Australia and South Pacific","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 10","Central and South America","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 10","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2018","Arts and Humanities","NFQ Level 10","North America","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","All NFQ Levels","All nationalities","Number","2680"
"Number of Graduates","2018","Social Sciences, Journalism and Information","All NFQ Levels","UK","Number","80"
"Number of Graduates","2018","Social Sciences, Journalism and Information","All NFQ Levels","Ireland","Number","2110"
"Number of Graduates","2018","Social Sciences, Journalism and Information","All NFQ Levels","Unknown","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","All NFQ Levels","Africa","Number","10"
"Number of Graduates","2018","Social Sciences, Journalism and Information","All NFQ Levels","Central Asia","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","All NFQ Levels","South Asia","Number","60"
"Number of Graduates","2018","Social Sciences, Journalism and Information","All NFQ Levels","South-East Asia","Number","10"
"Number of Graduates","2018","Social Sciences, Journalism and Information","All NFQ Levels","East Asia","Number","70"
"Number of Graduates","2018","Social Sciences, Journalism and Information","All NFQ Levels","Mid-East","Number","10"
"Number of Graduates","2018","Social Sciences, Journalism and Information","All NFQ Levels","Australia and South Pacific","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","All NFQ Levels","Central and South America","Number","10"
"Number of Graduates","2018","Social Sciences, Journalism and Information","All NFQ Levels","Europe excluding UK and Ireland","Number","180"
"Number of Graduates","2018","Social Sciences, Journalism and Information","All NFQ Levels","North America","Number","150"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 6","All nationalities","Number","30"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 6","UK","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 6","Ireland","Number","10"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 6","Unknown","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 6","Africa","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 6","Central Asia","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 6","South Asia","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 6","South-East Asia","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 6","East Asia","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 6","Mid-East","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 6","Australia and South Pacific","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 6","Central and South America","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 6","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 6","North America","Number","20"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 7","All nationalities","Number","20"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 7","UK","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 7","Ireland","Number","20"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 7","Unknown","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 7","Africa","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 7","Central Asia","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 7","South Asia","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 7","South-East Asia","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 7","East Asia","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 7","Mid-East","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 7","Australia and South Pacific","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 7","Central and South America","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 7","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 7","North America","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 8","All nationalities","Number","1780"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 8","UK","Number","40"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 8","Ireland","Number","1570"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 8","Unknown","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 8","Africa","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 8","Central Asia","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 8","South Asia","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 8","South-East Asia","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 8","East Asia","Number","40"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 8","Mid-East","Number","10"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 8","Australia and South Pacific","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 8","Central and South America","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 8","Europe excluding UK and Ireland","Number","90"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 8","North America","Number","20"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 9","All nationalities","Number","820"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 9","UK","Number","30"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 9","Ireland","Number","480"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 9","Unknown","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 9","Africa","Number","10"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 9","Central Asia","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 9","South Asia","Number","60"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 9","South-East Asia","Number","10"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 9","East Asia","Number","30"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 9","Mid-East","Number","10"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 9","Australia and South Pacific","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 9","Central and South America","Number","10"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 9","Europe excluding UK and Ireland","Number","90"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 9","North America","Number","110"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 10","All nationalities","Number","40"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 10","UK","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 10","Ireland","Number","30"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 10","Unknown","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 10","Africa","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 10","Central Asia","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 10","South Asia","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 10","South-East Asia","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 10","East Asia","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 10","Mid-East","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 10","Australia and South Pacific","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 10","Central and South America","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 10","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2018","Social Sciences, Journalism and Information","NFQ Level 10","North America","Number","0"
"Number of Graduates","2018","Business, Administration and Law","All NFQ Levels","All nationalities","Number","9790"
"Number of Graduates","2018","Business, Administration and Law","All NFQ Levels","UK","Number","100"
"Number of Graduates","2018","Business, Administration and Law","All NFQ Levels","Ireland","Number","7530"
"Number of Graduates","2018","Business, Administration and Law","All NFQ Levels","Unknown","Number","0"
"Number of Graduates","2018","Business, Administration and Law","All NFQ Levels","Africa","Number","60"
"Number of Graduates","2018","Business, Administration and Law","All NFQ Levels","Central Asia","Number","0"
"Number of Graduates","2018","Business, Administration and Law","All NFQ Levels","South Asia","Number","430"
"Number of Graduates","2018","Business, Administration and Law","All NFQ Levels","South-East Asia","Number","120"
"Number of Graduates","2018","Business, Administration and Law","All NFQ Levels","East Asia","Number","470"
"Number of Graduates","2018","Business, Administration and Law","All NFQ Levels","Mid-East","Number","40"
"Number of Graduates","2018","Business, Administration and Law","All NFQ Levels","Australia and South Pacific","Number","0"
"Number of Graduates","2018","Business, Administration and Law","All NFQ Levels","Central and South America","Number","20"
"Number of Graduates","2018","Business, Administration and Law","All NFQ Levels","Europe excluding UK and Ireland","Number","840"
"Number of Graduates","2018","Business, Administration and Law","All NFQ Levels","North America","Number","170"
"Number of Graduates","2018","Business, Administration and Law","NFQ Level 6","All nationalities","Number","380"
"Number of Graduates","2018","Business, Administration and Law","NFQ Level 6","UK","Number","10"
"Number of Graduates","2018","Business, Administration and Law","NFQ Level 6","Ireland","Number","330"
"Number of Graduates","2018","Business, Administration and Law","NFQ Level 6","Unknown","Number","0"
"Number of Graduates","2018","Business, Administration and Law","NFQ Level 6","Africa","Number","0"
"Number of Graduates","2018","Business, Administration and Law","NFQ Level 6","Central Asia","Number","0"
"Number of Graduates","2018","Business, Administration and Law","NFQ Level 6","South Asia","Number","0"
"Number of Graduates","2018","Business, Administration and Law","NFQ Level 6","South-East Asia","Number","0"
"Number of Graduates","2018","Business, Administration and Law","NFQ Level 6","East Asia","Number","0"
"Number of Graduates","2018","Business, Administration and Law","NFQ Level 6","Mid-East","Number","0"
"Number of Graduates","2018","Business, Administration and Law","NFQ Level 6","Australia and South Pacific","Number","0"
"Number of Graduates","2018","Business, Administration and Law","NFQ Level 6","Central and South America","Number","0"
"Number of Graduates","2018","Business, Administration and Law","NFQ Level 6","Europe excluding UK and Ireland","Number","40"
"Number of Graduates","2018","Business, Administration and Law","NFQ Level 6","North America","Number","0"
"Number of Graduates","2018","Business, Administration and Law","NFQ Level 7","All nationalities","Number","760"
"Number of Graduates","2018","Business, Administration and Law","NFQ Level 7","UK","Number","10"
"Number of Graduates","2018","Business, Administration and Law","NFQ Level 7","Ireland","Number","580"
