"Statistics","Census Year","Administrative Counties","Number of Children","Age of Child","UNIT","VALUE"
"Family units with children, by size and age of children","2022","Longford County Council","Families with 3 children","Children both under and over 15","Number","486"
"Family units with children, by size and age of children","2022","Longford County Council","Families with 3 children","Total","Number","1409"
"Family units with children, by size and age of children","2022","Longford County Council","Families with 4 children","All children 15 and over","Number","70"
"Family units with children, by size and age of children","2022","Longford County Council","Families with 4 children","All children under 15","Number","164"
"Family units with children, by size and age of children","2022","Longford County Council","Families with 4 children","Children both under and over 15","Number","265"
"Family units with children, by size and age of children","2022","Longford County Council","Families with 4 children","Total","Number","499"
"Family units with children, by size and age of children","2022","Longford County Council","Families with 5 or more children","All children 15 and over","Number","9"
"Family units with children, by size and age of children","2022","Longford County Council","Families with 5 or more children","All children under 15","Number","37"
"Family units with children, by size and age of children","2022","Longford County Council","Families with 5 or more children","Children both under and over 15","Number","137"
"Family units with children, by size and age of children","2022","Longford County Council","Families with 5 or more children","Total","Number","183"
"Family units with children, by size and age of children","2022","Longford County Council","Families without children","All children 15 and over","Number","0"
"Family units with children, by size and age of children","2022","Longford County Council","Families without children","All children under 15","Number","0"
"Family units with children, by size and age of children","2022","Longford County Council","Families without children","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Longford County Council","Families without children","Total","Number","3265"
"Family units with children, by size and age of children","2022","Longford County Council","Total families","All children 15 and over","Number","3001"
"Family units with children, by size and age of children","2022","Longford County Council","Total families","All children under 15","Number","3196"
"Family units with children, by size and age of children","2022","Longford County Council","Total families","Children both under and over 15","Number","1360"
"Family units with children, by size and age of children","2022","Longford County Council","Total families","Total","Number","10822"
"Family units with children, by size and age of children","2022","Louth County Council","Families with 1 child","All children 15 and over","Number","6137"
"Family units with children, by size and age of children","2022","Louth County Council","Families with 1 child","All children under 15","Number","3863"
"Family units with children, by size and age of children","2022","Louth County Council","Families with 1 child","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Louth County Council","Families with 1 child","Total","Number","10000"
"Family units with children, by size and age of children","2022","Louth County Council","Families with 2 children","All children 15 and over","Number","3254"
"Family units with children, by size and age of children","2022","Louth County Council","Families with 2 children","All children under 15","Number","4381"
"Family units with children, by size and age of children","2022","Louth County Council","Families with 2 children","Children both under and over 15","Number","1642"
"Family units with children, by size and age of children","2022","Louth County Council","Families with 2 children","Total","Number","9277"
"Family units with children, by size and age of children","2022","Louth County Council","Families with 3 children","All children 15 and over","Number","1045"
"Family units with children, by size and age of children","2022","Louth County Council","Families with 3 children","All children under 15","Number","1848"
"Family units with children, by size and age of children","2022","Louth County Council","Families with 3 children","Children both under and over 15","Number","1778"
"Family units with children, by size and age of children","2022","Louth County Council","Families with 3 children","Total","Number","4671"
