"Statistic Label","CensusYear","Detailed Marital Status","County and City","Sex","Age Group","UNIT","VALUE"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Female","All ages","Number","107694"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Female","Under 25 years","Number","32962"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Female","25 - 29 years","Number","8249"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Female","30 - 34 years","Number","8339"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Female","35 - 39 years","Number","7567"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Female","40 - 44 years","Number","7381"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Female","45 - 49 years","Number","7661"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Female","50 - 54 years","Number","6863"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Female","55 - 59 years","Number","6036"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Female","60 - 64 years","Number","5436"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Female","65 - 69 years","Number","4790"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Female","70 - 74 years","Number","4123"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Female","75 - 79 years","Number","3327"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Female","80 - 84 years","Number","2575"
"Population","2011","All marital status","Dún Laoghaire-Rathdown","Female","85 years and over","Number","2385"
"Population","2011","All marital status","Fingal","Both sexes","All ages","Number","273991"
"Population","2011","All marital status","Fingal","Both sexes","Under 25 years","Number","99026"
"Population","2011","All marital status","Fingal","Both sexes","25 - 29 years","Number","24007"
"Population","2011","All marital status","Fingal","Both sexes","30 - 34 years","Number","28976"
"Population","2011","All marital status","Fingal","Both sexes","35 - 39 years","Number","26448"
"Population","2011","All marital status","Fingal","Both sexes","40 - 44 years","Number","20881"
"Population","2011","All marital status","Fingal","Both sexes","45 - 49 years","Number","17185"
"Population","2011","All marital status","Fingal","Both sexes","50 - 54 years","Number","14664"
