"Statistic Label","Sex","Socio Economic Group","Nationality","CensusYear","UNIT","VALUE"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Iranian","2011","Number","899"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Iranian","2016","Number","606"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Israeli","2011","Number","289"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Israeli","2016","Number","664"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Japanese","2011","Number","765"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Japanese","2016","Number","998"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","South Korean","2011","Number","830"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","South Korean","2016","Number","1004"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Kuwaiti","2011","Number","349"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Kuwaiti","2016","Number","417"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Mongolian","2011","Number","679"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Mongolian","2016","Number","387"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Nepalese","2011","Number","488"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Nepalese","2016","Number","537"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Omani","2011","Number","67"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Omani","2016","Number","395"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Singaporean","2011","Number","171"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Singaporean","2016","Number","255"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Sri Lankan","2011","Number","434"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Sri Lankan","2016","Number","276"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Syrian","2011","Number","218"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Syrian","2016","Number","650"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Taiwanese","2011","Number","145"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Taiwanese","2016","Number","321"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Vietnamese","2011","Number","627"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Vietnamese","2016","Number","475"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","American (US)","2011","Number","11015"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","American (US)","2016","Number","10519"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Brazilian","2011","Number","8704"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Brazilian","2016","Number","13640"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Canadian","2011","Number","2384"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Canadian","2016","Number","2461"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Argentine","2011","Number","458"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Argentine","2016","Number","594"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Chilean","2011","Number","169"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Chilean","2016","Number","238"
